original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
Stay in parking lot 9 until a picture of car 2 was taken;parking_lot_9 U (car_2&&photo);parking_lot_9 U (car_2 & photo);['photo', 'parking_lot_9', 'car_2'];Stay in parking_lot_9 until a picture of car_2 was taken;{'photo': 'photo', 'parking lot 9': 'parking_lot_9', 'car 2': 'car_2'};{'photo': 'ap_0', 'parking_lot_9': 'ap_1', 'car_2': 'ap_2'};ap_1 U (ap_2 & ap_0);ConformalNL2LTL;prop U (prop & prop);prop U (prop & prop);7
Either photo the vehicle on northwest_4th_avenue happens infinitely often, or get_help happens in the next step.;"G F ""photo(vehicle,northwest_4th_avenue)"" | X ""get_help""";GF photo_vehicle_northwest_4th_avenue | X get_help;['get_help', 'photo_vehicle_northwest_4th_avenue'];;;;GFap_1 | Xap_0;VLTL-Bench;GFprop | Xprop;GFprop | Xprop;7
Whenever deliver the tennis_racket to the shelf holds, from the next step onwards deliver the bicycle to the shelf will eventually hold.;"G ( ""deliver(tennis_racket,shelf)"" -> X F ""deliver(bicycle,shelf)"" )";G(deliver_tennis_racket_shelf -> XF deliver_bicycle_shelf);['deliver_tennis_racket_shelf', 'deliver_bicycle_shelf'];;;;G(ap_0 -> XFap_1);VLTL-Bench;G(prop -> XFprop);G(prop -> XFprop);7
when possible obtain apple and at any time start_going_to tree;"F ( ""obtain(apple)"" ) & F ( ""start_going_to(tree)"" )";F obtain_apple & F start_going_to_tree;['obtain_apple', 'start_going_to_tree'];;;;Fap_0 & Fap_1;VLTL-Bench;Fprop & Fprop;Fprop & Fprop;7
gather orange and when possible go_by tree;"""gather(orange)"" & F ( ""go_by(tree)"" )";gather_orange & F go_by_tree;['gather_orange', 'go_by_tree'];;;;ap_0 & Fap_1;VLTL-Bench;prop & Fprop;prop & Fprop;7
Ensure you keep delivering crate_8 from warehouse_4 to store_8 and periodically visit charger_2;"G F ( ""warehouse_4"" & F ( ""p_crate_8"" & F ( ""store_8"" & ""pd"" ) ) ) & G F ""charger_2""";GF(warehouse_4 & F(p_crate_8 & F(pd & store_8))) & GF charger_2;['pd', 'store_8', 'p_crate_8', 'warehouse_4', 'charger_2'];;;;GF(ap_3 & F(ap_2 & F(ap_0 & ap_1))) & GFap_4;VLTL-Bench;GF(prop & F(prop & F(prop & prop))) & GFprop;GF(prop & F(prop & F(prop & prop))) & GFprop;7
it is always true that either a car starts or a motorbike catches fire;G( car_starts | motorbike_catches_fire );G(car_starts | motorbike_catches_fire);['car_starts', 'motorbike_catches_fire'];it is always true that either a car_starts or a motorbike_catches_fire;;{'car_starts': 'ap_0', 'motorbike_catches_fire': 'ap_1'};G(ap_0 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop | prop);G(prop | prop);7
move to blue_room but don t go through the red_room;"( F ( ""blue_room"" ) & G ( ! ""red_room"" ) )";F blue_room & G!red_room;['blue_room', 'red_room'];;;;Fap_0 & G!ap_1;VLTL-Bench;Fprop & G!prop;Fprop & G!prop;7
never drop orange and at some time approach flag;"G ( ! ( ""drop(orange)"" ) ) & F ( ""approach(flag)"" )";G!drop_orange & F approach_flag;['drop_orange', 'approach_flag'];;;;G!ap_0 & Fap_1;VLTL-Bench;G!prop & Fprop;G!prop & Fprop;7
repeatedly go_to waste basket or never let_go apple;"G ( F ( ""go_to(waste_basket)"" ) ) | G ( ! ( ""let_go(apple)"" ) )";GF go_to_waste_basket | G!let_go_apple;['go_to_waste_basket', 'let_go_apple'];;;;GFap_0 | G!ap_1;VLTL-Bench;GFprop | G!prop;GFprop | G!prop;7
Whenever get_help and go_home are equal, go_home and communicate the injured_rescuer are equal as well.;"G ( ( ""get_help"" <-> ""go_home"" ) -> ( ""go_home"" <-> ""communicate(injured_rescuer)"" ) )";G((get_help <-> go_home) -> (communicate_injured_rescuer <-> go_home));['communicate_injured_rescuer', 'get_help', 'go_home'];;;;G((ap_1 <-> ap_2) -> (ap_0 <-> ap_2));VLTL-Bench;G((prop <-> prop) -> (prop <-> prop));G((prop <-> prop) -> (prop <-> prop));7
don't pick_up anything and repeatedly go_to pear;"! ( F ( ""pick_up(anything)"" ) ) & G ( F ( ""go_to(pear)"" ) )";!F pick_up_anything & GF go_to_pear;['go_to_pear', 'pick_up_anything'];;;;!Fap_1 & GFap_0;VLTL-Bench;!Fprop & GFprop;!Fprop & GFprop;7
repeatedly go_to pear or at any time advance_to house;"G ( F ( ""go_to(pear)"" ) ) | F ( ""advance_to(house)"" )";GF go_to_pear | F advance_to_house;['go_to_pear', 'advance_to_house'];;;;GFap_0 | Fap_1;VLTL-Bench;GFprop | Fprop;GFprop | Fprop;7
Whenever pickup the horse holds, get_help holds as well.;"G ( ""pickup(horse)"" -> ""get_help"" )";G(pickup_horse -> get_help);['get_help', 'pickup_horse'];;;;G(ap_1 -> ap_0);VLTL-Bench;G(prop -> prop);G(prop -> prop);7
put_in bin until whenever pass_by house;"""put_in(bin)"" U F ( ""pass_by(house)"" )";put_in_bin U F pass_by_house;['pass_by_house', 'put_in_bin'];;;;ap_1 U Fap_0;VLTL-Bench;prop U Fprop;prop U Fprop;7
Avoid entering street_5 until you reach store_1, and ensure that you eventually at store_1 and pickup package_4;"! ""street_5"" U ""store_1"" & F ( ""store_1"" & ""p_package_4"" )";(!street_5 U store_1) & F(p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];;;;(!ap_1 U ap_2) & F(ap_0 & ap_2);VLTL-Bench;(!prop U prop) & F(prop & prop);(!prop U prop) & F(prop & prop);7
You must eventually pickup the sports_ball or deliver the elephant to the loading_dock.;"F ( ""pickup(sports_ball)"" | ""deliver(elephant,loading_dock)"" )";F(deliver_elephant_loading_dock | pickup_sports_ball);['pickup_sports_ball', 'deliver_elephant_loading_dock'];;;;F(ap_1 | ap_0);VLTL-Bench;F(prop | prop);F(prop | prop);7
This controller must always have either photo the jaywalker on northwest_9th_avenue or record the jaywalker on northwest_6th_street.;"G ( ""photo(jaywalker,northwest_9th_avenue)"" | ""record(jaywalker,northwest_6th_street)"" )";G(photo_jaywalker_northwest_9th_avenue | record_jaywalker_northwest_6th_street);['photo_jaywalker_northwest_9th_avenue', 'record_jaywalker_northwest_6th_street'];;;;G(ap_0 | ap_1);VLTL-Bench;G(prop | prop);G(prop | prop);7
Whenever search the bench holds, eventually deliver the suitcase to the shelf will hold.;"G ( ""search(bench)"" -> F ""deliver(suitcase,shelf)"" )";G(search_bench -> F deliver_suitcase_shelf);['search_bench', 'deliver_suitcase_shelf'];;;;G(ap_0 -> Fap_1);VLTL-Bench;G(prop -> Fprop);G(prop -> Fprop);7
get_hold_of pear until hold orange;"""get_hold_of(pear)"" U ""hold(orange)""";get_hold_of_pear U hold_orange;['get_hold_of_pear', 'hold_orange'];;;;ap_0 U ap_1;VLTL-Bench;prop U prop;prop U prop;7
at any time approach flag until at any time contact flag;"F ( ""approach(flag)"" ) U F ( ""contact(flag)"" )";F approach_flag U F contact_flag;['approach_flag', 'contact_flag'];;;;Fap_0 U Fap_1;VLTL-Bench;Fprop U Fprop;Fprop U Fprop;7
each time a car starts then as the escalator moves, at some point in time the elevator is blocked;G(( car_starts ) -> G(( escalator_moves ) -> F( elevator_is_blocked )));G(car_starts -> G(escalator_moves -> F elevator_is_blocked));['car_starts', 'escalator_moves', 'elevator_is_blocked'];each time a car_starts then as the escalator_moves, at some point in time the elevator_is_blocked;;{'car_starts': 'ap_0', 'escalator_moves': 'ap_1', 'elevator_is_blocked': 'ap_2'};G(ap_0 -> G(ap_1 -> Fap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> G(prop -> Fprop));G(prop -> G(prop -> Fprop));7
Switch light_south red can only happen after change light_west red.;"! ""change(light_south,red)"" U ""change(light_west,red)""";!change_light_south_red U change_light_west_red;['change_light_west_red', 'change_light_south_red'];;;;!ap_1 U ap_0;VLTL-Bench;!prop U prop;!prop U prop;7
Once photo flood has occurred, go_home will never occur again.;"G ( ""photo(flood)"" -> X G ! ""go_home"" )";G(photo_flood -> XG!go_home);['go_home', 'photo_flood'];;;;G(ap_1 -> XG!ap_0);VLTL-Bench;G(prop -> XG!prop);G(prop -> XG!prop);7
move_to tree or grasp orange;"""move_to(tree)"" | ""grasp(orange)""";grasp_orange | move_to_tree;['grasp_orange', 'move_to_tree'];;;;ap_0 | ap_1;VLTL-Bench;prop | prop;prop | prop;7
every time both the engine starts and the house is built then always, the motorbike has stopped or a semaphore is yellow;G(( engine_starts & house_is_built ) -> G( motorbike_has_stopped | semaphore_is_yellow ));G((engine_starts & house_is_built) -> G(motorbike_has_stopped | semaphore_is_yellow));['house_is_built', 'semaphore_is_yellow', 'engine_starts', 'motorbike_has_stopped'];every time both the engine_starts and the house_is_built then always, the motorbike_has_stopped or a semaphore_is_yellow;;{'house_is_built': 'ap_0', 'semaphore_is_yellow': 'ap_1', 'engine_starts': 'ap_2', 'motorbike_has_stopped': 'ap_3'};G((ap_2 & ap_0) -> G(ap_3 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G(prop | prop));G((prop & prop) -> G(prop | prop));7
after a bridge closes or the escalator moves, sooner or later both the car enters and the brake is released;G(( bridge_closes | escalator_moves ) -> F( car_enters & brake_is_released ));G((bridge_closes | escalator_moves) -> F(brake_is_released & car_enters));['car_enters', 'escalator_moves', 'bridge_closes', 'brake_is_released'];after a bridge_closes or the escalator_moves, sooner or later both the car_enters and the brake_is_released;;{'car_enters': 'ap_0', 'escalator_moves': 'ap_1', 'bridge_closes': 'ap_2', 'brake_is_released': 'ap_3'};G((ap_2 | ap_1) -> F(ap_3 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop & prop));G((prop | prop) -> F(prop & prop));7
Do not enter house 1 under any circumstances;[]!house_1;G!house_1;['house_1'];Do not enter house_1 under any circumstances;{'house 1': 'house_1'};{'house_1': 'ap_0'};G!ap_0;ConformalNL2LTL;G!prop;G!prop;7
under no condition the sensor gathers information or the bar is up or a motorbike is driven;G(!( sensor_gathers_information | bar_is_up | motorbike_is_driven ));G!(bar_is_up | motorbike_is_driven | sensor_gathers_information);['bar_is_up', 'motorbike_is_driven', 'sensor_gathers_information'];under no condition the sensor_gathers_information or the bar_is_up or a motorbike_is_driven;;{'bar_is_up': 'ap_0', 'motorbike_is_driven': 'ap_1', 'sensor_gathers_information': 'ap_2'};G!(ap_0 | ap_1 | ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop | prop);G!(prop | prop | prop);7
Whenever neither deliver the skis to the shelf nor get_help holds, pickup the keyboard eventually holds.;"G ( ! ( ""deliver(skis,shelf)"" & ""get_help"" ) -> F ""pickup(keyboard)"" )";G(!(deliver_skis_shelf & get_help) -> F pickup_keyboard);['get_help', 'pickup_keyboard', 'deliver_skis_shelf'];;;;G(!(ap_2 & ap_0) -> Fap_1);VLTL-Bench;G(!(prop & prop) -> Fprop);G(!(prop & prop) -> Fprop);7
put_in bin until do not let_go pear;"""put_in(bin)"" U ! ( ""let_go(pear)"" )";put_in_bin U !let_go_pear;['let_go_pear', 'put_in_bin'];;;;ap_1 U !ap_0;VLTL-Bench;prop U !prop;prop U !prop;7
at no time the elevator is open or a semaphore is yellow;G(!( elevator_is_open | semaphore_is_yellow ));G!(elevator_is_open | semaphore_is_yellow);['semaphore_is_yellow', 'elevator_is_open'];at no time the elevator_is_open or a semaphore_is_yellow;;{'semaphore_is_yellow': 'ap_0', 'elevator_is_open': 'ap_1'};G!(ap_1 | ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop);G!(prop | prop);7
it will not happen that the bar is up or an elevator is open or a sensor captures data;G(!( bar_is_up | elevator_is_open | sensor_captures_data ));G!(bar_is_up | elevator_is_open | sensor_captures_data);['bar_is_up', 'sensor_captures_data', 'elevator_is_open'];it will not happen that the bar_is_up or an elevator_is_open or a sensor_captures_data;;{'bar_is_up': 'ap_0', 'sensor_captures_data': 'ap_1', 'elevator_is_open': 'ap_2'};G!(ap_0 | ap_2 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop | prop);G!(prop | prop | prop);7
Keep delivering crate 8 from mall 5 to office 6;[]<>(mall_5&&<>(p_crate_8&&<>(office_6&&pd)));GF(mall_5 & F(p_crate_8 & F(office_6 & pd)));['pd', 'mall_5', 'p_crate_8', 'office_6'];Keep delivering p_crate_8 from mall_5 to office_6;{'pd': 'pd', 'mall 5': 'mall_5', 'crate 8': 'p_crate_8', 'office 6': 'office_6'};{'pd': 'ap_0', 'mall_5': 'ap_1', 'p_crate_8': 'ap_2', 'office_6': 'ap_3'};GF(ap_1 & F(ap_2 & F(ap_3 & ap_0)));ConformalNL2LTL;GF(prop & F(prop & F(prop & prop)));GF(prop & F(prop & F(prop & prop)));7
always when the brake is released or the engine breaks then it is going to happen that a table has been moved and an elevator is blocked;G(( brake_is_released | engine_breaks ) -> F( table_has_been_moved & elevator_is_blocked ));G((brake_is_released | engine_breaks) -> F(elevator_is_blocked & table_has_been_moved));['table_has_been_moved', 'brake_is_released', 'elevator_is_blocked', 'engine_breaks'];always when the brake_is_released or the engine_breaks then it is going to happen that a table_has_been_moved and an elevator_is_blocked;;{'table_has_been_moved': 'ap_0', 'brake_is_released': 'ap_1', 'elevator_is_blocked': 'ap_2', 'engine_breaks': 'ap_3'};G((ap_1 | ap_3) -> F(ap_2 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop & prop));G((prop | prop) -> F(prop & prop));7
when whenever get_hold orange , go_to bucket;"F ( ""get_hold(orange)"" ) -> ""go_to(bucket)""";F get_hold_orange -> go_to_bucket;['get_hold_orange', 'go_to_bucket'];;;;Fap_0 -> ap_1;VLTL-Bench;Fprop -> prop;Fprop -> prop;7
Continuously deliver package 5 from warehouse 1 to store 5 while repeatedly going to charging station 5;[]<>(warehouse_1&&<>(p_package_5&&<>(store_5&&pd)))&&[]<>charging_station_5;GF(warehouse_1 & F(p_package_5 & F(pd & store_5))) & GF charging_station_5;['pd', 'p_package_5', 'store_5', 'charging_station_5', 'warehouse_1'];Continuously deliver p_package_5 from warehouse_1 to store_5 while repeatedly going to charging_station_5;{'pd': 'pd', 'package 5': 'p_package_5', 'store 5': 'store_5', 'charging station 5': 'charging_station_5', 'warehouse 1': 'warehouse_1'};{'pd': 'ap_0', 'p_package_5': 'ap_1', 'store_5': 'ap_2', 'charging_station_5': 'ap_3', 'warehouse_1': 'ap_4'};GF(ap_4 & F(ap_1 & F(ap_0 & ap_2))) & GFap_3;ConformalNL2LTL;GF(prop & F(prop & F(prop & prop))) & GFprop;GF(prop & F(prop & F(prop & prop))) & GFprop;7
in any case either the house is built or a sensor retrieves data;G( house_is_built | sensor_retrieves_data );G(house_is_built | sensor_retrieves_data);['house_is_built', 'sensor_retrieves_data'];in any case either the house_is_built or a sensor_retrieves_data;;{'house_is_built': 'ap_0', 'sensor_retrieves_data': 'ap_1'};G(ap_0 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop | prop);G(prop | prop);7
You must eventually, avoid calling for help.;"F ( ! ""get_help"" )";F!get_help;['get_help'];;;;F!ap_0;VLTL-Bench;F!prop;F!prop;7
always, the train derails, the semaphore is red and a semaphore is green;G( train_derails & semaphore_is_red & semaphore_is_green );G(semaphore_is_green & semaphore_is_red & train_derails);['semaphore_is_red', 'train_derails', 'semaphore_is_green'];always, the train_derails, the semaphore_is_red and a semaphore_is_green;;{'semaphore_is_red': 'ap_0', 'train_derails': 'ap_1', 'semaphore_is_green': 'ap_2'};G(ap_2 & ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop & prop);G(prop & prop & prop);7
Whenever pickup the skis and pickup the umbrella are equal, pickup the umbrella and search the teddy-bear are equal as well.;"G ( ( ""pickup(skis)"" <-> ""pickup(umbrella)"" ) -> ( ""pickup(umbrella)"" <-> ""search(teddy-bear)"" ) )";G((pickup_skis <-> pickup_umbrella) -> (pickup_umbrella <-> search_teddy_bear));['search_teddy_bear', 'pickup_umbrella', 'pickup_skis'];;;;G((ap_2 <-> ap_1) -> (ap_1 <-> ap_0));VLTL-Bench;G((prop <-> prop) -> (prop <-> prop));G((prop <-> prop) -> (prop <-> prop));7
Either deliver_aid the safe_victim happens infinitely often, or deliver_aid the injured_hostile happens in the next step.;"G F ""deliver_aid(safe_victim)"" | X ""deliver_aid(injured_hostile)""";GF deliver_aid_safe_victim | X deliver_aid_injured_hostile;['deliver_aid_safe_victim', 'deliver_aid_injured_hostile'];;;;GFap_0 | Xap_1;VLTL-Bench;GFprop | Xprop;GFprop | Xprop;7
Request assistance must hold until change light_north green does, or else get_help holds forever.;"( ""get_help"" U ""change(light_north,green)"" ) | G ""get_help""";(get_help U change_light_north_green) | G get_help;['get_help', 'change_light_north_green'];;;;(ap_0 U ap_1) | Gap_0;VLTL-Bench;(prop U prop) | Gprop;(prop U prop) | Gprop;7
always, a semaphore is yellow after either a constructor creates instances or the escalator is blocked;G(( constructor_creates_instances | escalator_is_blocked ) -> G( semaphore_is_yellow ));G((constructor_creates_instances | escalator_is_blocked) -> G semaphore_is_yellow);['constructor_creates_instances', 'semaphore_is_yellow', 'escalator_is_blocked'];always, a semaphore_is_yellow after either a constructor_creates_instances or the escalator_is_blocked;;{'constructor_creates_instances': 'ap_0', 'semaphore_is_yellow': 'ap_1', 'escalator_is_blocked': 'ap_2'};G((ap_0 | ap_2) -> Gap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Gprop);G((prop | prop) -> Gprop);7
at some point in time the engine starts and the constructor creates instances;F( engine_starts & constructor_creates_instances );F(constructor_creates_instances & engine_starts);['constructor_creates_instances', 'engine_starts'];at some point in time the engine_starts and the constructor_creates_instances;;{'constructor_creates_instances': 'ap_0', 'engine_starts': 'ap_1'};F(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop);F(prop & prop);7
Every record the pedestrian on northwest_2nd_avenue is directly followed by change light_north green in the next step.;"G ( ""record(pedestrian,northwest_2nd_avenue)"" -> X ""change(light_north,green)"" )";G(record_pedestrian_northwest_2nd_avenue -> X change_light_north_green);['change_light_north_green', 'record_pedestrian_northwest_2nd_avenue'];;;;G(ap_1 -> Xap_0);VLTL-Bench;G(prop -> Xprop);G(prop -> Xprop);7
